Year,Airport Code,Airport Name,City Name,State Name,Average Fare ($),
2022,MKG,Muskegon County,Muskegon,MI,376.98,
2022,CGI,Cape Girardeau Regional,Cape Girardeau,MO,328.86,
2022,TBN,Waynesville-St. Robert Regional Forney Field,Fort Leonard Wood,MO,377.03,
2022,MBL,Manistee County-Blacker,Manistee/Ludington,MI,343.73,
2022,TEX,Telluride Regional,Telluride,CO,403.44,
2022,AUG,Augusta State,Augusta/Waterville,ME,413.87,
2022,MCW,Mason City Municipal,Mason City,IA,421.01,
2022,IWD,Gogebic-Iron County,Ironwood,MI,384.86,
2022,BHB,Hancock County-Bar Harbor,Bar Harbor,ME,342.11,
2022,PKB,Mid-Ohio Valley Regional,Parkersburg,WV,491.86,
2022,ENA,Kenai Municipal,Kenai,AK,382.57,
2022,DUJ,DuBois Regional,DuBois,PA,430.68,
2022,UIN,Quincy Regional-Baldwin Field,Quincy,IL,407.32,
2022,RKD,Knox County Regional,Rockland,ME,352.08,
2022,TUP,Tupelo Regional,Tupelo,MS,470.99,
2022,RUT,Rutland - Southern Vermont Regional,Rutland,VT,460.06,
2022,PVC,Provincetown Municipal,Provincetown,MA,441.08,
2022,MGW,Morgantown Municipal Walter L Bill Hart Field,Morgantown,WV,450.33,
2022,PGA,Page Municipal,Page,AZ,409.07,
2022,LNS,Lancaster Airport,Lancaster,PA,363.47,
2022,BRL,Southeast Iowa Regional,Burlington,IA,407.28,
2022,AIA,Alliance Municipal,Alliance,NE,669.20,
2022,SDY,Sidney Richland Regional,Sidney,MT,480.13,
2022,HOM,Homer Airport,Homer,AK,339.00,
2022,GLH,Greenville Mid Delta,Greenville,MS,545.35,
2022,TVF,Thief River Falls Regional,Thief River Falls,MN,506.13,
2022,MSL,Northwest Alabama Regional,Muscle Shoals,AL,440.24,
2022,AOO,Altoona-Blair County,Altoona,PA,399.41,
2022,BFD,Bradford Regional,Bradford,PA,428.88,
2022,ADK,Adak,Adak Island,AK,504.40,
2022,SLK,Adirondack Regional,Saranac Lake/Lake Placid,NY,357.10,
2022,MCK,McCook Ben Nelson Regional,McCook,NE,414.24,
2022,CDR,Chadron Municipal,Chadron,NE,475.82,
2022,MSS,Massena International-Richards Field,Massena,NY,400.47,
2022,MAZ,Eugenio Maria de Hostos,Mayaguez,PR,238.44,
2022,SOW,Show Low Regional,Show Low,AZ,586.00,
2022,CNM,Cavern City Air Terminal,Carlsbad,NM,692.83,
2022,HRO,Boone County,Harrison,AR,438.87,
2022,ELD,South Arkansas Regional at Goodwin Field,El Dorado,AR,507.20,
2022,HOT,Memorial Field,Hot Springs,AR,431.07,
2022,VDZ,Valdez Pioneer Field,Valdez,AK,324.25,
2022,MKL,McKellar-Sipes Regional,Jackson,TN,476.82,
2022,MKK,Molokai,Hoolehua,HI,58.49,
2022,HVR,Havre City-County,Havre,MT,536.80,
2022,GDV,Dawson Community,Glendive,MT,425.25,
2022,OLF,L. M. Clayton,Wolf Point,MT,644.17,
2022,PDT,Eastern Oregon Regional at Pendleton,Pendleton,OR,271.89,
2022,CDB,Cold Bay Airport,Cold Bay,AK,471.19,
2022,GGW,Wokal Field Glasgow Valley County,Glasgow,MT,605.19,
2022,JBR,Jonesboro Municipal,Jonesboro,AR,252.79,
2022,MCN,Middle Georgia Regional,Macon,GA,554.39,
2022,SGY,Skagway Airport,Skagway,AK,624.33,
2022,JHM,Kapalua Airport,Kapalua,HI,55.19,
2022,UNK,Unalakleet Airport,Unalakleet,AK,250.00,
2022,SDP,Sand Point,Sandpoint,AK,528.98,
2022,HNS,Haines Airport,Haines,AK,381.54,
2022,HNH,Hoonah Airport,Hoonah,AK,318.14,
2022,LNY,Lanai Airport,Lanai,HI,63.45,
2022,FRD,Friday Harbor Airport,Friday Harbor,WA,311.06,
2022,ESD,Orcas Island,Eastsound,WA,435.67,
2022,ANI,Aniak Airport,Aniak,AK,250.17,
2022,CEC,Jack McNamara Field,Crescent City,CA,352.37,
2022,AGN,Angoon Seaplane Base,Angoon,AK,454.25,
2022,AHN,Athens/Ben Epps,Athens,GA,334.22,
2022,AIN,Wainwright Airport,Wainwright,AK,799.40,
2022,AKO,Colorado Plains Regional,Akron,CO,108.00,
2022,AKP,Anaktuvuk Pass Airport,Anaktuvuk Pass,AK,493.10,
2022,ALE,Alpine Casparis Municipal,Alpine,TX,449.00,
2022,ALM,Alamogordo White Sands Regional,Alamogordo,NM,214.00,
2022,ANB,Anniston Regional,Anniston,AL,409.41,
2022,ANV,Anvik Airport,Anvik,AK,270.00,
2022,APF,Naples Municipal,Naples,FL,301.56,
2022,AST,Astoria Regional,Astoria/Seaside,OR,215.33,
2022,ATK,Atqasuk Edward Burnell Sr. Memorial,Atqasuk,AK,636.67,
2022,AUK,Alakanuk Airport,Alakanuk,AK,277.00,
2022,AUW,Wausau Downtown,Wausau,WI,624.00,
2022,BDR,Bridgeport Sikorsky,Bridgeport,CT,336.80,
2022,BKC,Buckland Airport,Buckland,AK,441.00,
2022,BKX,Brookings Regional,Brookings,SD,420.87,
2022,BLF,Mercer County,Princeton/Bluefield,WV,354.27,
2022,BMG,Monroe County,Bloomington,IN,361.00,
2022,BTI,Barter Island Airport,Barter Island,AK,765.33,
2022,BTT,Bettles Airport,Bettles,AK,761.20,
2022,BWD,Brownwood Regional,Brownwood,TX,606.82,
2022,CBE,Greater Cumberland Regional,Cumberland,MD,488.83,
2022,CEM,Central Airport,Central,AK,347.00,
2022,CGA,Craig Seaplane Base,Craig,AK,445.38,
2022,CGX,Meigs Field,Chicago,IL,178.91,
2022,CHI,Chicago Metropolitan Area,Chicago,IL,267.85,
2022,CIC,Chico Regional,Chico,CA,437.37,
2022,CLD,McClellan-Palomar,Carlsbad,CA,402.35,
2022,CLM,William R. Fairchild International,Port Angeles,WA,247.94,
2022,CLP,Clarks Point Airport,Clarks Point,AK,322.00,
2022,COE,Coeur d'Alene - Pappy Boyington Field,Coeur d'Alene,ID,325.00,
2022,CVO,Corvallis Municipal,Corvallis,OR,702.33,
2022,DAN,Danville Regional,Danville,VA,270.45,
2022,DET,Coleman A. Young Municipal,Detroit,MI,380.00,
2022,DNV,Vermilion Regional,Danville,IL,740.00,
2022,DRG,Deering Airport,Deering,AK,345.00,
